codigo_solicitado,cod_solic_desc
11134393,"HDD 1TB 2,5` SATA TOSHB MQ04ABF100/HDWL1"
11134251,FONTE TFX 180W PI-T180G-I(01) V2 POSIT A
11145469,TAMPA COVER C DARK GRAK C/TECLA N14ZP6
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11144816,"BATER 1C LI-PO 3000MAH 11,4WH TEM MONT"
11120235,ADAPT AC/DC 6374 5W 2P I_PWR
11117214,FONTE ATX 300W PI-A300B-F(01) POSIT AUT
11117020,SSD 120GB SATAIII 535 SERIES INTEL
11145242,TAMPA C C/TP SPK V2 DARK GRAY V142R
11160361,BATER 4C LI-ION 3175MAH 50WH
11153881,TAMPA COVER C TP CINZA S/TECLA N14AP6
11134346,PLM V142N V2 2G 32GB Z8350 LPDDR3 JABIL
11146740,CONJUNTO FRONTAL S532 JT 2
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11150195,CONJUNTO FRONTAL S532 HF
11145394,BATER 2C LI-PO 10000MAH 38WH BOREO BOREO
11145468,"LCD 14,1 HD AG DARK GRAY N14ZP6"
11150538,"LCD 14,1 TELA HD ANTI-GLARE CINZA N14DP6"
11144868,PL USB P/ NTB WOFP V142R VASTK
11115151,"HDD 500GB 2,5` SATAIII WESTE WD5000LPCX"
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11115151,"HDD 500GB 2,5` SATAIII WESTE WD5000LPCX"
11150195,CONJUNTO FRONTAL S532 HF
11160907,PLM N14EP6 4GB 64GB Z8330 DDR3 JABIL JAB
11128233,BATER 4C LI-PO 4900MAH SHUTL MONT
11151659,TAMPA COVER C TP CINZA TECLA MENU N14DP6
11133996,PLM POS-RIB360EE PLUS DDR4 ECOFP
11153174,PLM N14WP6 I3-8130U DDR4 BOREO BOREO
11127066,"HDD 1TB 2,5` SATA WESTE WD10SPZX"
11145919,PLM N14ZP6 4G 64GB Z8350 LPDDR3 JABIL MO
11153740,LCD 14 SL140PB42D1636-A00 RED V142
11134393,"HDD 1TB 2,5` SATA TOSHB MQ04ABF100/HDWL1"
11092563,TCL ABNT2 SK-6620 USB PR POS
11144854,LCD 14 NT140WHM-N44 DARK GRAY V142R
11146886,PLM V142R 178B 2G 32GB Z8350 LPDDR3 JABI
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11150211,"LCD 14,1 FHD AG NT140FHMN41 CINZA N14DP6"
11117020,SSD 120GB SATAIII 535 SERIES INTEL
11138512,LCD 12 GLARE SL116PP40Y1008 V116N SERIGR
11155255,PLM N14AP6 4G HDD N3350 LPDDR4 JABIL JAB
11144974,BATER 2C LI-PO 10000MAH 38WH BOREO BOREO
11126572,TCL ABNT2 SK-6620 USB PR LITEO PATRIMONI
11150257,PLM VJFE-CL I5-10210U DDR4 BOREO BOREO
11151659,TAMPA COVER C TP CINZA TECLA MENU N14DP6
11144814,PLM S545 SC9863 TEM LPDDR4 SKD
11153174,PLM N14WP6 I3-8130U DDR4 BOREO BOREO
11151017,VENTILADOR N14WP6/N15WP6 BMORN
11092563,TCL ABNT2 SK-6620 USB PR POS
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11133411,SSD 256GB SATAIII CV6-8Q256 1.3.02 LITEO
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11153881,TAMPA COVER C TP CINZA S/TECLA N14AP6
11130235,ADAPT AC/DC S13A00POQ AIO 65W 2P SALCO
11145452,PLM N14ZP6 2G 32GB Z8350 LPDDR3 BMORN MO
11153881,TAMPA COVER C TP CINZA S/TECLA N14AP6
11140478,PLM S512 JABIL DDR3 MONT SC7731E
11139341,BATER 1C LI-PO 2500MAH BOREO CKDFP
11160906,PLM N14EP6 2GB 32GB Z8330 DDR3 JABIL JAB
11127066,"HDD 1TB 2,5` SATA WESTE WD10SPZX"
11128686,LCD 14 ROXO CAM 1M S14SL03 VAIO
11160906,PLM N14EP6 2GB 32GB Z8330 DDR3 JABIL JAB
11092563,TCL ABNT2 SK-6620 USB PR POS
11140500,ADAPT AC/DC F24L9-120200SPAE 24W 2P
11132491,FONTE TFX 200W PI-T200P-S(01) SEASO AUT
11159671,TAMPA C NON BL K/B BMORN N14AP6
11128849,SSD 256GB SATAIII CV6-8Q256 CALCO
11130014,PLM POS-RIQ270DY DDR4 JABIL MONT
11153881,TAMPA COVER C TP CINZA S/TECLA N14AP6
11145469,TAMPA COVER C DARK GRAK C/TECLA N14ZP6
11144974,BATER 2C LI-PO 10000MAH 38WH BOREO BOREO
11129914,SSD 256GB SATAIII SU800BR2 ADATA
11145468,"LCD 14,1 HD AG DARK GRAY N14ZP6"
11153134,PLM N14EP6 2G N 32GB N Z8350 DDR3 JABIL
11160907,PLM N14EP6 4GB 64GB Z8330 DDR3 JABIL JAB
11154534,PLM N14EP6 2G N 32GB Z8350 DDR3 JABIL
11160353,PLM V142R-2 4GB Z8330 DDR3 JABIL JABIL
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11161168,PLM V142R-2 4GB 64GB Z8330 DDR3 JABIL JA
11134073,TAMPA C CE C/TP TCL NETFLIX ENG SPK V142
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11145471,TAMPA COVER D DARK GRAY N14ZP6
11153887,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11146660,LCD 14 SL140PB42D1636-A00 DARKGRAY V142R
11159671,TAMPA C NON BL K/B BMORN N14AP6
11122028,PLM POS-PIQ170DS TL DDR4 PEGTR ECO
11139180,ADAPT AC/DC F15L3-050300SPA 15W 2P
11130789,"HDD 1TB 2,5` SATA WESTE WD10SPZX NAC"
11153887,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11092563,TCL ABNT2 SK-6620 USB PR POS
11145587,"LCD 14,1 HD AG N140WHM-N41 CINZA N14DP6"
11124051,ADAPT AC/DC DA-65C19-CAAK 65W 3P APD
11118510,LCD 14 CAM0.3 S14BW01 SHUTT
11118570,TAMPA C C/TOUCH LOGO NTB S14BW S/TV
11151587,"LCD 14,1 IPS FHD G RED N14ZP6"
11092563,TCL ABNT2 SK-6620 USB PR POS
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11165366,PLM V142R-2 4GB 64GB Z8350 DDR3 JABIL JA
11119783,PLM DH8BW EMMC IMP N3060 DDR3L SHUTL CKD
11153881,TAMPA COVER C TP CINZA S/TECLA N14AP6
11140500,ADAPT AC/DC F24L9-120200SPAE 24W 2P
11145394,BATER 2C LI-PO 10000MAH 38WH BOREO BOREO
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11155165,PLM V142R-2 4G N 64GB N Z8350 DDR3 JABIL
11134393,"HDD 1TB 2,5` SATA TOSHB MQ04ABF100/HDWL1"
11126577,PLM POS-PIB150DR DDR4 ECOFP
11159671,TAMPA C NON BL K/B BMORN N14AP6
11144853,LCD 14 N140BGA-EA4 DARK GRAY V142R
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11092563,TCL ABNT2 SK-6620 USB PR POS
11120235,ADAPT AC/DC 6374 5W 2P I_PWR
11120235,ADAPT AC/DC 6374 5W 2P I_PWR
11133465,SSD 256GB SATA CV6-CQ256-B04 1.3.02 RET
11153881,TAMPA COVER C TP CINZA S/TECLA N14AP6
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11086967,MOU PS2 3BT SCR RD-M778 PR WRIDR
11117918,TCL ABNT2 RD-K2005B W8 PS2 PR WRIDR
11145640,TAMPA COVER C TP CINZA NETF N14DP6 IND
11150546,TAMPA COVER C TP CINZA S/TECLA N14DP6 2
11160659,CONJ PAINEL LCD V142R/R2/ZP6/EP6
11144383,LCD 14TELA HD CAM HD WLAN SERIGRAF.LASER
11153135,PLM N14EP6 4G N 64GB Z8350 DDR3 JABIL JA
11124280,ADAPT AC/DC PA-1900-32BR 90W 3P LITEON
11152993,TAMPA COVER C DARK GRAY C/TECLA N14EP6
11130896,PLM S511 V2 JABIL LPDDR3 MONT SC7731C
11146740,CONJUNTO FRONTAL S532 JT 2
